class,f1,precision,recall,threshold
0,0.7352647352647352,0.7173489278752436,0.7540983606557377,0.4
1,0.7975460122699386,0.7449856733524355,0.858085808580858,0.35
2,0.5041095890410959,0.5411764705882353,0.4717948717948718,0.6
3,0.3676341248900616,0.25059952038369304,0.6897689768976898,0.1
4,0.38405797101449274,0.3689095127610209,0.4005037783375315,0.25
5,0.5026178010471204,0.4192139737991266,0.6274509803921569,0.30000000000000004
6,0.4444444444444444,0.34285714285714286,0.631578947368421,0.25
7,0.5460122699386503,0.4405940594059406,0.717741935483871,0.30000000000000004
8,0.5277777777777778,0.5671641791044776,0.4935064935064935,0.7000000000000001
9,0.3016949152542373,0.20843091334894615,0.5460122699386503,0.1
10,0.4341534008683068,0.37593984962406013,0.5136986301369864,0.25
11,0.4939759036144578,0.5942028985507246,0.422680412371134,0.8
12,0.5757575757575758,0.6129032258064516,0.5428571428571428,0.75
13,0.3657142857142857,0.4050632911392405,0.3333333333333333,0.6
14,0.6775956284153005,0.6666666666666666,0.6888888888888889,0.35
15,0.9175108538350217,0.9519519519519519,0.8854748603351955,0.7000000000000001
16,0.4827586206896552,0.4375,0.5384615384615384,0.35
17,0.5577464788732395,0.5409836065573771,0.5755813953488372,0.30000000000000004
18,0.7855917667238422,0.6918429003021148,0.9087301587301587,0.25
19,0.3684210526315789,0.4117647058823529,0.3333333333333333,0.8
20,0.5942350332594235,0.5537190082644629,0.6411483253588517,0.30000000000000004
21,0.5833333333333334,0.7777777777777778,0.4666666666666667,0.8
22,0.2903225806451613,0.4576271186440678,0.2125984251968504,0.6
23,0.2702702702702703,0.2631578947368421,0.2777777777777778,0.6
24,0.7450980392156863,0.6705882352941176,0.8382352941176471,0.2
25,0.5746268656716418,0.616,0.5384615384615384,0.7000000000000001
26,0.5396825396825397,0.5528455284552846,0.5271317829457365,0.8
27,0.6835443037974683,0.6084843128590367,0.7797281993204983,0.1
